term_id,term_str,n,num,stop,p_stem,pos_max,term_rank,p,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
0,,3166,0,0,,.,1,0.1219380680942844,936,0.0,0.0,0.0,0.0,0.0
1,02,3,1,0,02,CD,108,0.00011554460021568326,3,2.494154594018443,2.494154594018443,7.482463782055328,2.494154594018443,2.494154594018443
2,03,4,1,0,03,CD,107,0.00015405946695424435,4,2.369215857410143,2.369215857410143,9.476863429640572,2.369215857410143,2.369215857410143
3,04,2,1,0,04,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
4,05,2,1,0,05,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
5,06,5,1,0,06,CD,106,0.00019257433369280542,5,2.2723058444020863,2.2723058444020863,11.361529222010432,2.2723058444020863,2.2723058444020863
6,07,5,1,0,07,CD,106,0.00019257433369280542,5,2.2723058444020863,2.2723058444020863,11.361529222010432,2.2723058444020863,2.2723058444020863
7,08,4,1,0,08,CD,107,0.00015405946695424435,4,2.369215857410143,2.369215857410143,9.476863429640572,2.369215857410143,2.369215857410143
8,09,3,1,0,09,CD,108,0.00011554460021568326,2,2.670245853074124,4.005368779611186,8.010737559222372,4.005368779611186,5.340491706148248
9,1,71,1,0,1,CD,53,0.002734555538437837,60,1.1931245983544616,1.4118641080527778,84.71184648316667,1.1931245983544616,3.579373795063385
10,10,66,1,0,10,CD,55,0.0025419812047450317,52,1.255272505103306,1.5932304872465042,82.84798533681821,1.255272505103306,11.297452545929755
11,100,1,1,0,100,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
12,1000,1,1,0,1000,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
13,100000,1,1,0,100000,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
14,11,25,1,0,11,CD,86,0.0009628716684640271,24,1.591064607026499,1.6573589656526029,39.77661517566247,1.591064607026499,3.182129214052998
15,112,1,1,0,112,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
16,12,22,1,0,12,CD,89,0.0008473270682483439,20,1.670245853074124,1.8372704383815364,36.74540876763073,1.670245853074124,3.340491706148248
17,12th,1,1,0,12th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
18,13,19,1,0,13,CD,92,0.0007317824680326606,19,1.6925222477852764,1.6925222477852766,32.15792270792026,1.6925222477852764,1.6925222477852764
19,13yearold,1,1,0,13yearold,JJ,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
20,14,17,1,0,14,CD,94,0.0006547527345555384,14,1.8251478130598673,2.2162509158584105,31.027512822017748,1.8251478130598673,3.6502956261197346
21,1400,1,1,0,1400,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
22,145mm,1,1,0,145mm,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
23,15,13,1,0,15,CD,98,0.0005006932676012941,12,1.8920946026904804,2.049769152914687,24.597229834976247,1.8920946026904804,3.7841892053809607
24,15th,1,1,0,15th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
25,16,13,1,0,16,CD,98,0.0005006932676012941,13,1.8573324964312685,1.8573324964312687,24.145322453606493,1.8573324964312685,1.8573324964312685
26,17,20,1,0,17,CD,91,0.0007702973347712217,18,1.7160033436347992,1.9066703818164434,34.32006687269598,1.7160033436347992,3.4320066872695985
27,17th,1,1,0,17th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
28,18,12,1,0,18,CD,99,0.00046217840086273303,11,1.92988316357988,2.1053270875416876,23.158597962958563,1.92988316357988,3.85976632715976
29,19,19,1,0,19,CD,92,0.0007317824680326606,17,1.7408269273598314,1.945630095284517,33.07571161983679,1.7408269273598314,3.4816538547196627
30,1st,1,1,0,1st,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
31,1tallat,1,1,0,1tallat,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
32,2,79,1,0,2,CD,48,0.0030426744723463257,62,1.1788841592398513,1.5021265899991658,93.13184857994828,1.1788841592398513,12.967725751638365
33,20,20,1,0,20,CD,91,0.0007702973347712217,20,1.670245853074124,1.6702458530741242,33.404917061482486,1.670245853074124,1.670245853074124
34,2000,1,1,0,2000,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
35,2017,4,1,0,2017,CD,107,0.00015405946695424435,4,2.369215857410143,2.369215857410143,9.476863429640572,2.369215857410143,2.369215857410143
36,2018,6,1,0,2018,CD,105,0.00023108920043136651,6,2.1931245983544616,2.1931245983544616,13.15874759012677,2.1931245983544616,2.1931245983544616
37,2019,186,1,0,2019,CD,24,0.007163765213372361,170,0.7408269273598312,0.8105518146407571,137.7938084889287,0.7408269273598312,2.2224807820794936
38,2020,133,1,0,2020,CD,32,0.0051224772762286245,130,0.8573324964312685,0.8771170925027597,114.02522202535876,0.8573324964312685,1.714664992862537
39,2021,10,1,0,2021,CD,101,0.00038514866738561084,10,1.9712758487381052,1.9712758487381055,19.712758487381056,1.9712758487381052,1.9712758487381052
40,21,12,1,0,21,CD,99,0.00046217840086273303,12,1.8920946026904804,1.8920946026904806,22.705135232285766,1.8920946026904804,1.8920946026904804
41,22,15,1,0,22,CD,96,0.0005777230010784163,15,1.795184589682424,1.7951845896824243,26.927768845236365,1.795184589682424,1.795184589682424
42,23,10,1,0,23,CD,101,0.00038514866738561084,10,1.9712758487381052,1.9712758487381055,19.712758487381056,1.9712758487381052,1.9712758487381052
43,23092019,1,1,0,23092019,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
44,24,12,1,0,24,CD,99,0.00046217840086273303,11,1.92988316357988,2.1053270875416876,23.158597962958563,1.92988316357988,3.85976632715976
45,24th,1,1,0,24th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
46,25,13,1,0,25,CD,98,0.0005006932676012941,12,1.8920946026904804,2.049769152914687,24.597229834976247,1.8920946026904804,3.7841892053809607
47,26,14,1,0,26,CD,97,0.0005392081343398552,12,1.8920946026904804,2.207443703138894,26.489324437666728,1.8920946026904804,3.7841892053809607
48,27,19,1,0,27,CD,92,0.0007317824680326606,18,1.7160033436347992,1.8113368627256214,32.604063529061186,1.7160033436347992,3.4320066872695985
49,28,13,1,0,28,CD,98,0.0005006932676012941,13,1.8573324964312685,1.8573324964312687,24.145322453606493,1.8573324964312685,1.8573324964312685
50,280,1,1,0,280,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
51,29,12,1,0,29,CD,99,0.00046217840086273303,12,1.8920946026904804,1.8920946026904806,22.705135232285766,1.8920946026904804,1.8920946026904804
52,29th,1,1,0,29th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
53,3,62,1,0,3,CD,57,0.002387921737790787,47,1.2991779908023877,1.713809264462724,80.54903542974803,1.2991779908023877,11.69260191722149
54,30,9,1,0,30,CD,102,0.00034663380064704974,9,2.0170333392987803,2.0170333392987803,18.153300053689023,2.0170333392987803,2.0170333392987803
55,3000,2,1,0,3000,CD,109,7.702973347712218e-05,1,2.971275848738105,5.94255169747621,5.94255169747621,5.94255169747621,5.94255169747621
56,30th,1,1,0,30th,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
57,31,5,1,0,31,CD,106,0.00019257433369280542,5,2.2723058444020863,2.2723058444020863,11.361529222010432,2.2723058444020863,2.2723058444020863
58,32,1,1,0,32,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
59,35,1,1,0,35,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
60,37,1,1,0,37,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
61,39,2,1,0,39,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
62,3rd,1,1,0,3rd,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
63,4,33,1,0,4,CD,78,0.0012709906023725159,30,1.4941545940184429,1.6435700534202866,49.3071016026086,1.4941545940184429,4.482463782055328
